File,WaveData20240328_004.csv,
1549.227500,9.1910E-007,1549.227500,4.2580E-005,1549.227500,1.2850E-008,1549.227500,1.0380E-008,1549.227500,1.0380E-008
1549.278400,1.9240E-006,1549.278400,4.1920E-005,1549.278400,2.6140E-008,1549.278400,1.3410E-008,1549.278400,1.3410E-008
1549.329300,3.3990E-006,1549.329300,4.1230E-005,1549.329300,4.7990E-008,1549.329300,5.0720E-008,1549.329300,5.0720E-008
1549.380200,5.8330E-006,1549.380200,4.0600E-005,1549.380200,7.9390E-008,1549.380200,4.5350E-008,1549.380200,4.5350E-008
1549.431100,9.0860E-006,1549.431100,3.9900E-005,1549.431100,1.2010E-007,1549.431100,7.6190E-008,1549.431100,7.6190E-008
1549.482000,1.2440E-005,1549.482000,3.9250E-005,1549.482000,1.6710E-007,1549.482000,9.8540E-008,1549.482000,9.8540E-008
1549.532900,1.5060E-005,1549.532900,3.8580E-005,1549.532900,2.1000E-007,1549.532900,1.0470E-007,1549.532900,1.0470E-007
1549.583800,1.6980E-005,1549.583800,3.7940E-005,1549.583800,2.3170E-007,1549.583800,1.0410E-007,1549.583800,1.0410E-007
1549.634700,1.8150E-005,1549.634700,3.7250E-005,1549.634700,2.4560E-007,1549.634700,1.3810E-007,1549.634700,1.3810E-007
1549.685600,1.8960E-005,1549.685600,3.6610E-005,1549.685600,2.5930E-007,1549.685600,1.4880E-007,1549.685600,1.4880E-007
1549.736500,1.9400E-005,1549.736500,3.5970E-005,1549.736500,2.5960E-007,1549.736500,1.5360E-007,1549.736500,1.5360E-007
1549.787400,1.9630E-005,1549.787400,3.5350E-005,1549.787400,2.6790E-007,1549.787400,1.7090E-007,1549.787400,1.7090E-007
1549.838300,1.9730E-005,1549.838300,3.4670E-005,1549.838300,2.6930E-007,1549.838300,1.1540E-007,1549.838300,1.1540E-007
1549.889200,1.9780E-005,1549.889200,3.4090E-005,1549.889200,2.8010E-007,1549.889200,1.6540E-007,1549.889200,1.6540E-007
1549.940100,1.9710E-005,1549.940100,3.3450E-005,1549.940100,2.7140E-007,1549.940100,1.3960E-007,1549.940100,1.3960E-007
1549.991000,1.9750E-005,1549.991000,3.2770E-005,1549.991000,2.6480E-007,1549.991000,1.1890E-007,1549.991000,1.1890E-007
1550.041900,1.9670E-005,1550.041900,3.2210E-005,1550.041900,2.6310E-007,1550.041900,1.6830E-007,1550.041900,1.6830E-007
1550.092800,1.9510E-005,1550.092800,3.1590E-005,1550.092800,2.5990E-007,1550.092800,1.3460E-007,1550.092800,1.3460E-007
1550.143700,1.9210E-005,1550.143700,3.1000E-005,1550.143700,2.6170E-007,1550.143700,1.3490E-007,1550.143700,1.3490E-007
1550.194600,1.8460E-005,1550.194600,3.0350E-005,1550.194600,2.5590E-007,1550.194600,1.4910E-007,1550.194600,1.4910E-007
1550.245500,1.7310E-005,1550.245500,2.9740E-005,1550.245500,2.3210E-007,1550.245500,1.6920E-007,1550.245500,1.6920E-007
1550.296400,1.5400E-005,1550.296400,2.9170E-005,1550.296400,2.0840E-007,1550.296400,1.2170E-007,1550.296400,1.2170E-007
1550.347300,1.2580E-005,1550.347300,2.8570E-005,1550.347300,1.8090E-007,1550.347300,1.2490E-007,1550.347300,1.2490E-007
1550.398200,9.4560E-006,1550.398200,2.7990E-005,1550.398200,1.2930E-007,1550.398200,1.0680E-007,1550.398200,1.0680E-007
1550.449100,6.3910E-006,1550.449100,2.7430E-005,1550.449100,8.4360E-008,1550.449100,4.6860E-008,1550.449100,4.6860E-008
1550.500000,4.1070E-006,1550.500000,2.6780E-005,1550.500000,5.1870E-008,1550.500000,4.0170E-008,1550.500000,4.0170E-008
1550.550900,2.4760E-006,1550.550900,2.6220E-005,1550.550900,3.8740E-008,1550.550900,3.7680E-008,1550.550900,3.7680E-008
1550.601800,1.3990E-006,1550.601800,2.5640E-005,1550.601800,1.8340E-008,1550.601800,2.2820E-008,1550.601800,2.2820E-008
1550.652700,8.9120E-007,1550.652700,2.5130E-005,1550.652700,1.5980E-008,1550.652700,3.8480E-009,1550.652700,3.8480E-009
1550.703600,5.3930E-007,1550.703600,2.4550E-005,1550.703600,5.8750E-009,1550.703600,2.5090E-008,1550.703600,2.5090E-008
1550.754500,3.3170E-007,1550.754500,2.3970E-005,1550.754500,1.7680E-009,1550.754500,2.9160E-008,1550.754500,2.9160E-008
1550.805400,2.3280E-007,1550.805400,2.3460E-005,1550.805400,4.5570E-009,1550.805400,2.2170E-008,1550.805400,2.2170E-008
1550.856300,2.5090E-007,1550.856300,2.2920E-005,1550.856300,-1.7480E-009,1550.856300,1.4860E-008,1550.856300,1.4860E-008
1550.907200,1.9000E-007,1550.907200,2.2370E-005,1550.907200,5.2400E-009,1550.907200,2.7880E-009,1550.907200,2.7880E-009
1550.958100,1.9410E-007,1550.958100,2.1870E-005,1550.958100,3.1810E-010,1550.958100,7.1070E-008,1550.958100,7.1070E-008
1551.009000,1.8370E-007,1551.009000,2.1350E-005,1551.009000,1.4270E-009,1551.009000,-9.5110E-009,1551.009000,-9.5110E-009
1551.059900,1.7590E-007,1551.059900,2.0840E-005,1551.059900,6.0830E-009,1551.059900,2.4910E-008,1551.059900,2.4910E-008
1551.110800,1.9650E-007,1551.110800,2.0320E-005,1551.110800,3.5040E-009,1551.110800,1.8130E-008,1551.110800,1.8130E-008
1551.161700,1.5930E-007,1551.161700,1.9780E-005,1551.161700,9.5670E-010,1551.161700,2.1550E-008,1551.161700,2.1550E-008
1551.212600,1.5330E-007,1551.212600,1.9330E-005,1551.212600,6.0670E-010,1551.212600,8.8790E-009,1551.212600,8.8790E-009
1551.263500,1.6310E-007,1551.263500,1.8820E-005,1551.263500,5.7480E-009,1551.263500,3.3860E-009,1551.263500,3.3860E-009
1551.314400,1.5260E-007,1551.314400,1.8330E-005,1551.314400,1.1860E-009,1551.314400,2.9030E-008,1551.314400,2.9030E-008
1551.365300,1.2470E-007,1551.365300,1.7790E-005,1551.365300,1.2270E-008,1551.365300,1.4680E-008,1551.365300,1.4680E-008
1551.416200,1.3800E-007,1551.416200,1.7400E-005,1551.416200,-3.2390E-009,1551.416200,2.1360E-008,1551.416200,2.1360E-008
1551.467100,1.5750E-007,1551.467100,1.6870E-005,1551.467100,6.5750E-009,1551.467100,1.2510E-008,1551.467100,1.2510E-008
1551.518000,1.3050E-007,1551.518000,1.6410E-005,1551.518000,2.4970E-009,1551.518000,5.6410E-009,1551.518000,5.6410E-009
1551.568900,1.2420E-007,1551.568900,1.5970E-005,1551.568900,1.4580E-009,1551.568900,1.1050E-008,1551.568900,1.1050E-008
1551.619800,1.3270E-007,1551.619800,1.5500E-005,1551.619800,2.2450E-010,1551.619800,7.6540E-009,1551.619800,7.6540E-009
1551.670700,1.5270E-007,1551.670700,1.5110E-005,1551.670700,-8.8230E-010,1551.670700,3.1680E-008,1551.670700,3.1680E-008
1551.721600,1.1540E-007,1551.721600,1.4680E-005,1551.721600,5.2300E-009,1551.721600,3.9160E-009,1551.721600,3.9160E-009
1551.772500,1.4200E-007,1551.772500,1.4210E-005,1551.772500,6.4390E-010,1551.772500,2.8820E-008,1551.772500,2.8820E-008
1551.823400,1.2330E-007,1551.823400,1.3790E-005,1551.823400,-1.6240E-009,1551.823400,3.3000E-008,1551.823400,3.3000E-008
1551.874300,1.3690E-007,1551.874300,1.3350E-005,1551.874300,4.3160E-010,1551.874300,5.9900E-009,1551.874300,5.9900E-009
1551.925200,1.3540E-007,1551.925200,1.2990E-005,1551.925200,2.3750E-009,1551.925200,1.3550E-008,1551.925200,1.3550E-008
1551.976100,1.3330E-007,1551.976100,1.2560E-005,1551.976100,6.0100E-010,1551.976100,3.6750E-008,1551.976100,3.6750E-008
1552.027000,1.2670E-007,1552.027000,1.2170E-005,1552.027000,-4.1760E-009,1552.027000,1.6580E-008,1552.027000,1.6580E-008
1552.077900,1.1350E-007,1552.077900,1.1740E-005,1552.077900,2.9870E-009,1552.077900,1.0400E-008,1552.077900,1.0400E-008
1552.128800,1.3120E-007,1552.128800,1.1350E-005,1552.128800,1.1090E-009,1552.128800,2.3610E-008,1552.128800,2.3610E-008
1552.179700,1.2920E-007,1552.179700,1.1050E-005,1552.179700,-4.2440E-009,1552.179700,9.7560E-009,1552.179700,9.7560E-009
1552.230600,1.3000E-007,1552.230600,1.0700E-005,1552.230600,7.1880E-010,1552.230600,2.6870E-008,1552.230600,2.6870E-008
1552.281500,1.2550E-007,1552.281500,1.0340E-005,1552.281500,3.1370E-009,1552.281500,6.4420E-009,1552.281500,6.4420E-009
1552.332400,1.3740E-007,1552.332400,9.9720E-006,1552.332400,-8.2660E-011,1552.332400,2.4150E-008,1552.332400,2.4150E-008
1552.383300,1.3750E-007,1552.383300,9.6470E-006,1552.383300,-2.8620E-009,1552.383300,1.8200E-008,1552.383300,1.8200E-008
1552.434200,1.0630E-007,1552.434200,9.3000E-006,1552.434200,-1.9560E-009,1552.434200,3.2590E-009,1552.434200,3.2590E-009
1552.485100,1.6710E-007,1552.485100,8.9720E-006,1552.485100,2.0820E-009,1552.485100,9.7090E-009,1552.485100,9.7090E-009
1552.536000,1.3930E-007,1552.536000,8.6500E-006,1552.536000,8.1270E-010,1552.536000,-1.6750E-009,1552.536000,-1.6750E-009
1552.586900,2.0460E-007,1552.586900,8.3270E-006,1552.586900,-1.2440E-009,1552.586900,2.2930E-008,1552.586900,2.2930E-008
1552.637800,1.4130E-007,1552.637800,8.0090E-006,1552.637800,4.3460E-009,1552.637800,3.7470E-008,1552.637800,3.7470E-008
1552.688700,1.6980E-007,1552.688700,7.7140E-006,1552.688700,2.3890E-009,1552.688700,8.2970E-009,1552.688700,8.2970E-009
1552.739600,1.9920E-007,1552.739600,7.4220E-006,1552.739600,-1.2380E-009,1552.739600,1.3650E-009,1552.739600,1.3650E-009
1552.790500,1.8070E-007,1552.790500,7.1360E-006,1552.790500,-1.9640E-009,1552.790500,4.1510E-008,1552.790500,4.1510E-008
1552.841400,2.0330E-007,1552.841400,6.8530E-006,1552.841400,1.9160E-010,1552.841400,2.3400E-009,1552.841400,2.3400E-009
1552.892300,2.0670E-007,1552.892300,6.5780E-006,1552.892300,7.9040E-009,1552.892300,2.2650E-008,1552.892300,2.2650E-008
1552.943200,2.0200E-007,1552.943200,6.3210E-006,1552.943200,-9.8840E-009,1552.943200,1.9110E-008,1552.943200,1.9110E-008
1552.994100,1.8600E-007,1552.994100,6.0600E-006,1552.994100,-3.9690E-010,1552.994100,1.5900E-008,1552.994100,1.5900E-008
1553.045000,1.9590E-007,1553.045000,5.8290E-006,1553.045000,2.1310E-009,1553.045000,2.4450E-008,1553.045000,2.4450E-008
1553.095900,1.6100E-007,1553.095900,5.5940E-006,1553.095900,-1.1120E-009,1553.095900,3.5520E-008,1553.095900,3.5520E-008
1553.146800,2.2950E-007,1553.146800,5.3630E-006,1553.146800,-5.3410E-011,1553.146800,2.8160E-008,1553.146800,2.8160E-008
1553.197700,2.0210E-007,1553.197700,5.1320E-006,1553.197700,-3.7460E-009,1553.197700,1.8630E-008,1553.197700,1.8630E-008
1553.248600,1.2510E-007,1553.248600,4.9220E-006,1553.248600,1.6040E-009,1553.248600,2.9830E-009,1553.248600,2.9830E-009
1553.299500,1.6770E-007,1553.299500,4.7380E-006,1553.299500,-4.1380E-009,1553.299500,1.7230E-008,1553.299500,1.7230E-008
1553.350400,1.7000E-007,1553.350400,4.5350E-006,1553.350400,5.5510E-010,1553.350400,2.1740E-008,1553.350400,2.1740E-008
1553.401300,1.4110E-007,1553.401300,4.3580E-006,1553.401300,-3.3740E-009,1553.401300,1.9580E-008,1553.401300,1.9580E-008
1553.452200,1.8070E-007,1553.452200,4.1770E-006,1553.452200,1.4340E-010,1553.452200,-4.3030E-009,1553.452200,-4.3030E-009
1553.503100,1.6840E-007,1553.503100,4.0170E-006,1553.503100,1.1840E-009,1553.503100,2.4570E-008,1553.503100,2.4570E-008
1553.554000,1.5920E-007,1553.554000,3.8440E-006,1553.554000,5.9910E-010,1553.554000,2.5870E-008,1553.554000,2.5870E-008
1553.604900,1.4690E-007,1553.604900,3.6980E-006,1553.604900,6.7350E-010,1553.604900,1.1900E-008,1553.604900,1.1900E-008
1553.655800,1.2250E-007,1553.655800,3.5630E-006,1553.655800,-4.1070E-009,1553.655800,2.2700E-008,1553.655800,2.2700E-008
1553.706700,1.5080E-007,1553.706700,3.4360E-006,1553.706700,-2.8680E-009,1553.706700,2.3060E-008,1553.706700,2.3060E-008
1553.757600,1.2560E-007,1553.757600,3.3150E-006,1553.757600,2.3400E-009,1553.757600,2.9930E-008,1553.757600,2.9930E-008
1553.808500,1.2560E-007,1553.808500,3.2000E-006,1553.808500,1.8850E-011,1553.808500,2.0900E-008,1553.808500,2.0900E-008
1553.859400,1.4230E-007,1553.859400,3.0950E-006,1553.859400,1.2140E-009,1553.859400,1.8990E-008,1553.859400,1.8990E-008
1553.910300,1.1760E-007,1553.910300,3.0020E-006,1553.910300,-5.0960E-009,1553.910300,1.1960E-008,1553.910300,1.1960E-008
1553.961200,1.3810E-007,1553.961200,2.9260E-006,1553.961200,1.1670E-009,1553.961200,1.8180E-008,1553.961200,1.8180E-008
1554.012100,1.3220E-007,1554.012100,2.8510E-006,1554.012100,-7.6560E-010,1554.012100,1.4110E-008,1554.012100,1.4110E-008
1554.063000,1.7190E-007,1554.063000,2.7870E-006,1554.063000,2.1940E-009,1554.063000,1.4240E-008,1554.063000,1.4240E-008
1554.113900,3.0590E-007,1554.113900,2.7190E-006,1554.113900,2.0020E-009,1554.113900,1.6630E-008,1554.113900,1.6630E-008
1554.164800,5.2620E-007,1554.164800,2.6880E-006,1554.164800,1.1070E-009,1554.164800,1.5340E-008,1554.164800,1.5340E-008
1554.215700,9.5400E-007,1554.215700,2.6460E-006,1554.215700,8.1170E-010,1554.215700,3.2990E-008,1554.215700,3.2990E-008
1554.266600,1.9050E-006,1554.266600,2.6280E-006,1554.266600,1.2700E-009,1554.266600,3.1200E-009,1554.266600,3.1200E-009
1554.317500,3.3360E-006,1554.317500,2.5880E-006,1554.317500,6.6050E-009,1554.317500,2.6040E-009,1554.317500,2.6040E-009
1554.368400,5.3880E-006,1554.368400,2.5990E-006,1554.368400,7.3210E-009,1554.368400,1.1440E-008,1554.368400,1.1440E-008
1554.419300,8.2330E-006,1554.419300,2.5890E-006,1554.419300,7.4160E-009,1554.419300,2.9850E-008,1554.419300,2.9850E-008
1554.470200,1.1350E-005,1554.470200,2.6020E-006,1554.470200,1.3510E-008,1554.470200,2.1520E-008,1554.470200,2.1520E-008
1554.521100,1.4140E-005,1554.521100,2.6140E-006,1554.521100,1.4550E-008,1554.521100,3.2530E-008,1554.521100,3.2530E-008
1554.572000,1.6060E-005,1554.572000,2.6460E-006,1554.572000,2.3650E-008,1554.572000,1.9620E-008,1554.572000,1.9620E-008
1554.622900,1.7470E-005,1554.622900,2.6940E-006,1554.622900,2.3440E-008,1554.622900,3.6110E-008,1554.622900,3.6110E-008
1554.673800,1.8230E-005,1554.673800,2.7450E-006,1554.673800,2.2350E-008,1554.673800,3.0290E-008,1554.673800,3.0290E-008
1554.724700,1.8640E-005,1554.724700,2.7990E-006,1554.724700,2.7790E-008,1554.724700,3.1140E-008,1554.724700,3.1140E-008
1554.775600,1.8860E-005,1554.775600,2.8670E-006,1554.775600,2.2490E-008,1554.775600,2.1330E-008,1554.775600,2.1330E-008
1554.826500,1.8920E-005,1554.826500,2.9330E-006,1554.826500,2.7860E-008,1554.826500,2.1470E-008,1554.826500,2.1470E-008
1554.877400,1.8940E-005,1554.877400,3.0230E-006,1554.877400,2.6440E-008,1554.877400,2.3040E-008,1554.877400,2.3040E-008
1554.928300,1.8890E-005,1554.928300,3.1360E-006,1554.928300,2.9640E-008,1554.928300,2.4670E-008,1554.928300,2.4670E-008
1554.979200,1.8850E-005,1554.979200,3.2380E-006,1554.979200,2.3930E-008,1554.979200,1.9200E-008,1554.979200,1.9200E-008
1555.030100,1.8730E-005,1555.030100,3.3470E-006,1555.030100,2.2470E-008,1555.030100,1.7490E-008,1555.030100,1.7490E-008
1555.081000,1.8550E-005,1555.081000,3.4720E-006,1555.081000,2.0370E-008,1555.081000,2.8150E-008,1555.081000,2.8150E-008
1555.131900,1.8180E-005,1555.131900,3.6150E-006,1555.131900,2.2720E-008,1555.131900,3.1390E-008,1555.131900,3.1390E-008
1555.182800,1.7530E-005,1555.182800,3.7600E-006,1555.182800,2.0790E-008,1555.182800,3.4680E-008,1555.182800,3.4680E-008
1555.233700,1.6340E-005,1555.233700,3.9190E-006,1555.233700,2.7010E-008,1555.233700,3.0030E-008,1555.233700,3.0030E-008
1555.284600,1.4550E-005,1555.284600,4.0780E-006,1555.284600,2.1560E-008,1555.284600,3.8020E-008,1555.284600,3.8020E-008
1555.335500,1.2050E-005,1555.335500,4.2590E-006,1555.335500,1.9020E-008,1555.335500,2.5880E-008,1555.335500,2.5880E-008
1555.386400,9.3140E-006,1555.386400,4.4490E-006,1555.386400,1.3600E-008,1555.386400,3.5950E-008,1555.386400,3.5950E-008
1555.437300,6.2170E-006,1555.437300,4.6290E-006,1555.437300,1.1550E-008,1555.437300,2.1240E-008,1555.437300,2.1240E-008
1555.488200,3.9090E-006,1555.488200,4.8550E-006,1555.488200,6.3490E-009,1555.488200,4.2900E-008,1555.488200,4.2900E-008
1555.539100,2.3280E-006,1555.539100,5.0640E-006,1555.539100,1.5620E-009,1555.539100,2.1090E-008,1555.539100,2.1090E-008
1555.590000,1.3470E-006,1555.590000,5.2840E-006,1555.590000,5.7450E-009,1555.590000,2.8530E-008,1555.590000,2.8530E-008
1555.640900,8.6690E-007,1555.640900,5.5350E-006,1555.640900,-1.8640E-009,1555.640900,2.4550E-008,1555.640900,2.4550E-008
1555.691800,4.3680E-007,1555.691800,5.7630E-006,1555.691800,2.0540E-010,1555.691800,2.2320E-008,1555.691800,2.2320E-008
1555.742700,2.8350E-007,1555.742700,6.0250E-006,1555.742700,5.3750E-009,1555.742700,1.8970E-008,1555.742700,1.8970E-008
1555.793600,2.4340E-007,1555.793600,6.2940E-006,1555.793600,3.7840E-010,1555.793600,-3.4690E-009,1555.793600,-3.4690E-009
1555.844500,2.1720E-007,1555.844500,6.5470E-006,1555.844500,2.4250E-009,1555.844500,1.2240E-008,1555.844500,1.2240E-008
1555.895400,2.0760E-007,1555.895400,6.8460E-006,1555.895400,-6.1750E-010,1555.895400,3.0180E-008,1555.895400,3.0180E-008
1555.946300,2.1830E-007,1555.946300,7.1620E-006,1555.946300,5.2850E-009,1555.946300,1.4450E-008,1555.946300,1.4450E-008
1555.997200,1.7430E-007,1555.997200,7.4570E-006,1555.997200,1.6660E-010,1555.997200,2.2280E-008,1555.997200,2.2280E-008
1556.048100,1.8690E-007,1556.048100,7.7670E-006,1556.048100,7.1290E-010,1556.048100,1.7050E-008,1556.048100,1.7050E-008
1556.099000,1.5930E-007,1556.099000,8.0930E-006,1556.099000,6.8870E-010,1556.099000,2.1190E-008,1556.099000,2.1190E-008
1556.149900,1.5480E-007,1556.149900,8.4200E-006,1556.149900,1.2980E-009,1556.149900,2.0770E-008,1556.149900,2.0770E-008
1556.200800,1.9330E-007,1556.200800,8.7820E-006,1556.200800,6.4360E-010,1556.200800,1.5550E-008,1556.200800,1.5550E-008
1556.251700,1.7090E-007,1556.251700,9.1480E-006,1556.251700,2.3340E-009,1556.251700,2.6410E-008,1556.251700,2.6410E-008
1556.302600,2.3540E-007,1556.302600,9.5040E-006,1556.302600,4.6330E-010,1556.302600,2.2570E-008,1556.302600,2.2570E-008
1556.353500,1.9630E-007,1556.353500,9.8980E-006,1556.353500,-3.5100E-009,1556.353500,2.3730E-008,1556.353500,2.3730E-008
1556.404400,2.0610E-007,1556.404400,1.0280E-005,1556.404400,3.1310E-009,1556.404400,3.5140E-008,1556.404400,3.5140E-008
1556.455300,2.6350E-007,1556.455300,1.0650E-005,1556.455300,4.6730E-009,1556.455300,2.7890E-008,1556.455300,2.7890E-008
1556.506200,2.5200E-007,1556.506200,1.1060E-005,1556.506200,6.4070E-009,1556.506200,1.5500E-008,1556.506200,1.5500E-008
1556.557100,2.1520E-007,1556.557100,1.1490E-005,1556.557100,-3.8820E-011,1556.557100,2.1490E-008,1556.557100,2.1490E-008
1556.608000,2.6890E-007,1556.608000,1.1920E-005,1556.608000,5.9650E-009,1556.608000,2.7450E-008,1556.608000,2.7450E-008
1556.658900,2.1070E-007,1556.658900,1.2360E-005,1556.658900,2.1570E-009,1556.658900,2.7600E-008,1556.658900,2.7600E-008
1556.709800,2.3550E-007,1556.709800,1.2780E-005,1556.709800,1.3320E-009,1556.709800,2.2280E-008,1556.709800,2.2280E-008
1556.760700,2.2260E-007,1556.760700,1.3270E-005,1556.760700,4.8700E-009,1556.760700,2.4450E-008,1556.760700,2.4450E-008
1556.811600,2.2560E-007,1556.811600,1.3730E-005,1556.811600,5.1310E-009,1556.811600,1.6400E-008,1556.811600,1.6400E-008
1556.862500,2.6080E-007,1556.862500,1.4200E-005,1556.862500,1.2340E-009,1556.862500,1.4140E-008,1556.862500,1.4140E-008
1556.913400,2.2860E-007,1556.913400,1.4690E-005,1556.913400,4.6180E-009,1556.913400,2.1420E-008,1556.913400,2.1420E-008
1556.964300,2.5350E-007,1556.964300,1.5180E-005,1556.964300,1.0200E-009,1556.964300,2.5050E-008,1556.964300,2.5050E-008
1557.015200,2.2740E-007,1557.015200,1.5710E-005,1557.015200,4.4680E-009,1557.015200,1.1350E-008,1557.015200,1.1350E-008
1557.066100,2.3180E-007,1557.066100,1.6230E-005,1557.066100,1.0050E-009,1557.066100,1.6520E-008,1557.066100,1.6520E-008
1557.117000,3.1300E-007,1557.117000,1.6760E-005,1557.117000,3.3010E-009,1557.117000,2.7570E-008,1557.117000,2.7570E-008
1557.167900,2.2890E-007,1557.167900,1.7360E-005,1557.167900,3.6260E-009,1557.167900,1.3440E-008,1557.167900,1.3440E-008
1557.218800,2.2850E-007,1557.218800,1.7900E-005,1557.218800,1.2180E-010,1557.218800,2.1730E-008,1557.218800,2.1730E-008
1557.269700,1.8840E-007,1557.269700,1.8470E-005,1557.269700,1.8320E-009,1557.269700,3.0710E-008,1557.269700,3.0710E-008
1557.320600,1.5090E-007,1557.320600,1.9080E-005,1557.320600,5.9730E-009,1557.320600,9.9090E-009,1557.320600,9.9090E-009
1557.371500,1.5270E-007,1557.371500,1.9660E-005,1557.371500,5.1050E-010,1557.371500,3.1370E-008,1557.371500,3.1370E-008
1557.422400,1.3210E-007,1557.422400,2.0190E-005,1557.422400,-7.3530E-012,1557.422400,1.6600E-008,1557.422400,1.6600E-008
1557.473300,1.4910E-007,1557.473300,2.0870E-005,1557.473300,5.1300E-009,1557.473300,5.2710E-008,1557.473300,5.2710E-008
1557.524200,1.3240E-007,1557.524200,2.1430E-005,1557.524200,5.1460E-011,1557.524200,-3.5900E-009,1557.524200,-3.5900E-009
1557.575100,1.4050E-007,1557.575100,2.2070E-005,1557.575100,2.9290E-009,1557.575100,3.8660E-009,1557.575100,3.8660E-009
1557.626000,1.1310E-007,1557.626000,2.2720E-005,1557.626000,2.2380E-009,1557.626000,3.3560E-008,1557.626000,3.3560E-008
1557.676900,1.1650E-007,1557.676900,2.3380E-005,1557.676900,3.3310E-009,1557.676900,2.4400E-008,1557.676900,2.4400E-008
1557.727800,1.1100E-007,1557.727800,2.4030E-005,1557.727800,1.4980E-009,1557.727800,1.8060E-008,1557.727800,1.8060E-008
1557.778700,1.3320E-007,1557.778700,2.4710E-005,1557.778700,3.1710E-009,1557.778700,1.2720E-008,1557.778700,1.2720E-008
1557.829600,9.7740E-008,1557.829600,2.5350E-005,1557.829600,-1.1550E-010,1557.829600,2.7070E-008,1557.829600,2.7070E-008
1557.880500,1.1370E-007,1557.880500,2.6040E-005,1557.880500,-5.7240E-010,1557.880500,1.5730E-008,1557.880500,1.5730E-008
1557.931400,1.0870E-007,1557.931400,2.6780E-005,1557.931400,-1.2590E-011,1557.931400,5.4190E-008,1557.931400,5.4190E-008
1557.982300,1.0110E-007,1557.982300,2.7440E-005,1557.982300,3.4990E-009,1557.982300,-1.2830E-008,1557.982300,-1.2830E-008
1558.033200,1.0660E-007,1558.033200,2.8200E-005,1558.033200,2.2170E-009,1558.033200,1.5920E-008,1558.033200,1.5920E-008
1558.084100,8.6920E-008,1558.084100,2.8920E-005,1558.084100,7.4540E-009,1558.084100,1.0360E-009,1558.084100,1.0360E-009
1558.135000,1.0690E-007,1558.135000,2.9690E-005,1558.135000,2.0400E-009,1558.135000,1.3870E-008,1558.135000,1.3870E-008
1558.185900,1.1810E-007,1558.185900,3.0420E-005,1558.185900,3.2350E-009,1558.185900,1.6670E-008,1558.185900,1.6670E-008
1558.236800,1.1410E-007,1558.236800,3.1160E-005,1558.236800,1.2970E-009,1558.236800,1.9360E-008,1558.236800,1.9360E-008
1558.287700,1.1310E-007,1558.287700,3.1910E-005,1558.287700,5.5550E-009,1558.287700,2.7750E-008,1558.287700,2.7750E-008
1558.338600,1.5330E-007,1558.338600,3.2710E-005,1558.338600,6.4440E-009,1558.338600,1.5240E-008,1558.338600,1.5240E-008
1558.389500,1.1940E-007,1558.389500,3.3480E-005,1558.389500,4.5020E-009,1558.389500,1.3440E-008,1558.389500,1.3440E-008
1558.440400,1.5920E-007,1558.440400,3.4310E-005,1558.440400,-4.0470E-010,1558.440400,1.7690E-008,1558.440400,1.7690E-008
1558.491300,1.4790E-007,1558.491300,3.5090E-005,1558.491300,1.3570E-009,1558.491300,1.9260E-008,1558.491300,1.9260E-008
1558.542200,1.5710E-007,1558.542200,3.5920E-005,1558.542200,3.4280E-009,1558.542200,1.8140E-008,1558.542200,1.8140E-008
1558.593100,1.3000E-007,1558.593100,3.6740E-005,1558.593100,4.5980E-009,1558.593100,1.2310E-008,1558.593100,1.2310E-008
1558.644000,1.8290E-007,1558.644000,3.7590E-005,1558.644000,7.9480E-010,1558.644000,-8.3290E-009,1558.644000,-8.3290E-009
1558.694900,1.6430E-007,1558.694900,3.8450E-005,1558.694900,3.1550E-009,1558.694900,7.4880E-009,1558.694900,7.4880E-009
1558.745800,1.5680E-007,1558.745800,3.9250E-005,1558.745800,2.6700E-009,1558.745800,3.7690E-008,1558.745800,3.7690E-008
1558.796700,1.6670E-007,1558.796700,4.0160E-005,1558.796700,6.2710E-009,1558.796700,9.4470E-009,1558.796700,9.4470E-009
1558.847600,1.8270E-007,1558.847600,4.0990E-005,1558.847600,1.3360E-009,1558.847600,1.6460E-008,1558.847600,1.6460E-008
1558.898500,1.8470E-007,1558.898500,4.1840E-005,1558.898500,4.5010E-009,1558.898500,1.5810E-008,1558.898500,1.5810E-008
1558.949400,2.3330E-007,1558.949400,4.2780E-005,1558.949400,7.3030E-009,1558.949400,3.5610E-008,1558.949400,3.5610E-008
1559.000300,2.5950E-007,1559.000300,4.3670E-005,1559.000300,1.7730E-009,1559.000300,2.6580E-008,1559.000300,2.6580E-008
1559.051200,3.1160E-007,1559.051200,4.4620E-005,1559.051200,7.2750E-009,1559.051200,2.9420E-008,1559.051200,2.9420E-008
1559.102100,3.5180E-007,1559.102100,4.5490E-005,1559.102100,8.3200E-009,1559.102100,1.5420E-008,1559.102100,1.5420E-008
1559.153000,4.2410E-007,1559.153000,4.6470E-005,1559.153000,5.2740E-009,1559.153000,2.4330E-008,1559.153000,2.4330E-008
1559.203900,7.9060E-007,1559.203900,4.7340E-005,1559.203900,1.2120E-008,1559.203900,-7.2640E-010,1559.203900,-7.2640E-010
1559.254800,1.8690E-006,1559.254800,4.8190E-005,1559.254800,3.8630E-008,1559.254800,1.2580E-008,1559.254800,1.2580E-008
1559.305700,3.6930E-006,1559.305700,4.9110E-005,1559.305700,7.0030E-008,1559.305700,4.1160E-008,1559.305700,4.1160E-008
